mjd,mag,mag_err,UL,filter,detected
55567.6,23.97,inf,True,i,0
55594.6,24.43,inf,True,i,0
55595.6,23.69,inf,True,z,0
55596.6,24.46,inf,True,r,0
55596.6,24.51,inf,True,r,0
55596.6,24.59,inf,True,g,0
55597.6,23.71,inf,True,i,0
55602.5,24.31,inf,True,g,0
55605.6,22.85,inf,True,g,0
55605.6,23.3,inf,True,r,0
55613.5,23.14,inf,True,z,0
55615.6,21.77,inf,True,i,0
55631.4,23.36,inf,True,z,0
55632.6,24.06,inf,True,g,0
55632.6,24.12,inf,True,r,0
55633.6,24.35,inf,True,i,0
55634.6,23.03,inf,True,z,0
55635.5,23.23,inf,True,g,0
55635.5,23.72,inf,True,r,0
55636.4,23.63,inf,True,i,0
55645.6,23.13,inf,True,i,0
55646.5,23.34,inf,True,z,0
55649.6,22.84,inf,True,z,0
55650.6,23.06,inf,True,r,0
55650.6,23.38,inf,True,g,0
55651.5,24.01,inf,True,i,0
55653.5,23.98,inf,True,r,0
55653.5,24.45,inf,True,g,0
55662.4,23.8,inf,True,r,0
55662.4,24.1,inf,True,g,0
55663.3,24.21,inf,True,i,0
55664.4,23.22,inf,True,z,0
55665.3,23.04,inf,True,g,0
55665.3,23.27,inf,True,r,0
55666.3,23.49,inf,True,i,0
55672.4,24.18,inf,True,i,0
55673.4,23.48,inf,True,z,0
55674.3,24.69,inf,True,g,0
55674.4,24.2,inf,True,r,0
55675.4,24.15,inf,True,i,0
55676.4,22.92,inf,True,z,0
55677.4,24.12,inf,True,r,0
55677.4,24.43,inf,True,g,0
55678.3,24.07,inf,True,i,0
55680.3,23.77,inf,True,g,0
55680.3,23.81,inf,True,r,0
55681.3,23.9,inf,True,i,0
55692.4,23.82,0.35,False,g,1
55692.4,23.85,inf,True,r,0
55701.3,23.1,0.13,False,r,1
55701.3,23.87,0.21,False,g,1
55702.3,22.71,0.26,False,i,1
55705.3,22.88,0.13,False,i,1
55706.3,22.58,0.27,False,z,1
55708.3,23.12,0.27,False,i,1
55710.3,22.94,0.09,False,r,1
55710.3,23.5,0.17,False,g,1
55711.3,22.6,0.08,False,i,1
55712.3,22.44,0.13,False,z,1
55714.3,22.62,0.1,False,i,1
55718.3,23.04,0.29,False,z,1
55719.3,22.63,0.09,False,r,1
55719.3,23.65,0.21,False,g,1
55720.3,22.22,0.17,False,i,1
55722.3,22.66,0.22,False,r,1
55722.3,22.94,inf,True,g,0
55723.3,22.28,0.08,False,i,1
55724.3,22.21,0.21,False,z,1
55731.3,22.63,0.21,False,r,1
55731.3,22.94,0.25,False,g,1
55732.3,22.3,0.11,False,i,1
55736.3,22.05,0.12,False,z,1
55738.3,22.27,0.24,False,i,1
55751.8,22.37,0.15,False,r,1
55751.8,22.41,0.2,False,i,1
55751.8,22.59,0.45,False,z,1
55751.8,23.05,inf,True,g,0
55762.7,21.48,inf,True,z,0
55762.7,22.77,0.28,False,r,1
55762.8,22.51,0.32,False,i,1
