mjd,mag,mag_err,UL,filter,detected
53377.4,19.618,inf,True,r,0
53379.4,18.938,inf,True,r,0
53384.4,19.228,inf,True,r,0
53386.5,19.438,inf,True,r,0
53387.5,19.138,inf,True,r,0
53389.5,18.948,inf,True,r,0
53408.4,19.688,inf,True,r,0
53415.4,18.648,inf,True,r,0
53430.2,18.628,inf,True,r,0
53432.3,18.498,0.11,False,r,1
53433.3,18.258,0.1,False,r,1
53437.5,18.278,0.06,False,r,1
53438.5,18.348,0.17,False,r,1
53439.4,18.138,0.06,False,r,1
53440.4,18.198,0.09,False,r,1
53441.3,18.158,0.07,False,r,1
53444.4,18.268,0.16,False,r,1
53446.9,18.358,0.09,False,r,1
53447.3,18.368,0.13,False,r,1
53448.3,18.348,0.16,False,r,1
53460.372,19.5093,0.3253,False,g,1
53460.374,20.0374,0.6493,False,u,1
53460.3763,19.1826,0.5367,False,i,1
53460.7,18.518,0.18,False,r,1
53462.5,18.698,0.11,False,r,1
53463.3,19.068,0.16,False,r,1
53467.1,19.028,0.24,False,r,1
53467.3435,19.9893,0.377,False,g,1
53467.3458,21.1074,1.2036,False,u,1
53467.3482,19.6626,0.4629,False,i,1
53470.1,18.958,0.19,False,r,1
53472.5,19.098,0.19,False,r,1
53474.3166,20.6593,0.5104,False,g,1
53474.3203,19.4926,0.8935,False,i,1
53475.2,19.398,inf,True,r,0
53482.1713,20.5693,0.9579,False,g,1
53482.1845,19.9626,1.12,False,i,1
53491.5,19.278,inf,True,r,0
53503.7,19.088,inf,True,r,0
53506.2643,23.0993,1.2985,False,g,1
53506.2767,21.1226,0.9796,False,i,1
53509.2681,23.4574,1.2922,False,u,1
53509.2754,21.5026,1.0203,False,i,1
53520.4,19.288,inf,True,r,0
53521.5,19.238,inf,True,r,0
53522.5,19.008,inf,True,r,0
53525.5,19.298,inf,True,r,0
53526.2603,23.0493,0.7716,False,g,1
53526.6,19.378,inf,True,r,0
53529.6,19.198,inf,True,r,0
